Album Name,Album Link
"The Canal Club | Richmond, VA | 2.18.23",https://papadosio.bandcamp.com/album/the-canal-club-richmond-va-21823
"Baltimore Soundstage | Baltimore, MD | 2.17.23",https://papadosio.bandcamp.com/album/baltimore-soundstage-baltimore-md-21723
"The Millennium Center | Winston-Salem, NC | 2.4.23",https://papadosio.bandcamp.com/album/the-millennium-center-winston-salem-nc-2423
"The Pour House | Charleston, SC | 2.3.22",https://papadosio.bandcamp.com/album/the-pour-house-charleston-sc-2322
"The Pour House | Charleston, SC | 2.2.23",https://papadosio.bandcamp.com/album/the-pour-house-charleston-sc-2223
"Revolution Live | Ft. Lauderdale, FL | 1.21.23",https://papadosio.bandcamp.com/album/revolution-live-ft-lauderdale-fl-12123
"Jannus Live | St. Petersburg, FL | 1.20.23",https://papadosio.bandcamp.com/album/jannus-live-st-petersburg-fl-12023
"Underbelly | Jacksonville, FL | 1.19.22",https://papadosio.bandcamp.com/album/underbelly-jacksonville-fl-11922
"The Orange Peel | Asheville, NC | 12.30.22",https://papadosio.bandcamp.com/album/the-orange-peel-asheville-nc-123022
"The Orange Peel | Asheville, NC | 12.31.22",https://papadosio.bandcamp.com/album/the-orange-peel-asheville-nc-123122
"Old Town Pub | Steamboat Springs, CO | 12.11.22",https://papadosio.bandcamp.com/album/old-town-pub-steamboat-springs-co-121122
"Aggie Theatre | Fort Collins, CO | 12.10.22",https://papadosio.bandcamp.com/album/aggie-theatre-fort-collins-co-121022
"The Boulder Theatre | Boulder, CO | 12.9.22",https://papadosio.bandcamp.com/album/the-boulder-theatre-boulder-co-12922
"10 Mile Music Hall | Frisco, CO | 12.8.22",https://papadosio.bandcamp.com/album/10-mile-music-hall-frisco-co-12822
"T.E.T.I.O.S. Live | Cleveland, OH | 11.25.22 - 11.26.22",https://papadosio.bandcamp.com/album/t-e-t-i-o-s-live-cleveland-oh-112522-112622
"The Hall | Little Rock, AR | 11.12.22",https://papadosio.bandcamp.com/album/the-hall-little-rock-ar-111222
"George's Majestic | Fayetteville, AR | 11.11.22",https://papadosio.bandcamp.com/album/georges-majestic-fayetteville-ar-111122
"Beer City Music Hall | Oklahoma City, OK | 11.10.22 | 11.",https://papadosio.bandcamp.com/album/beer-city-music-hall-oklahoma-city-ok-111022-11
"Elevation 27 | Virginia Beach, VA | 10.29.22",https://papadosio.bandcamp.com/album/elevation-27-virginia-beach-va-102922
"The Queen | Wilmington, DE | 10.28.22",https://papadosio.bandcamp.com/album/the-queen-wilmington-de-102822
"The Midway | San Fransisco, CA | 10.15.22",https://papadosio.bandcamp.com/album/the-midway-san-fransisco-ca-101522
"The Stone House | Nevada City, CA | 10.14.22",https://papadosio.bandcamp.com/album/the-stone-house-nevada-city-ca-101422
"Cypress | Reno, NV | 10.13.22",https://papadosio.bandcamp.com/album/cypress-reno-nv-101322
"The Big Dirty | Eugene, OR | 10.9.22",https://papadosio.bandcamp.com/album/the-big-dirty-eugene-or-10922
"The Star Theater | Portland, OR | 10.8.22",https://papadosio.bandcamp.com/album/the-star-theater-portland-or-10822
"The Crocodile | Seattle, WA | 10.7.22",https://papadosio.bandcamp.com/album/the-crocodile-seattle-wa-10722
Papadosio and Friends Improv Set | Secret Dreams Festival | 9.19.22,https://papadosio.bandcamp.com/album/papadosio-and-friends-improv-set-secret-dreams-festival-91922
